Date,USDX,GOLD
"Oct 29, 2014",86.04,1224.3
"Oct 28, 2014",85.47,1229.2
"Oct 27, 2014",85.56,1229.1
"Oct 24, 2014",85.82,1231.2
"Oct 23, 2014",85.95,1228.5
"Oct 22, 2014",85.85,1244.8
"Oct 21, 2014",85.4,1251.0
"Oct 20, 2014",85.04,1244.0
"Oct 17, 2014",85.21,1238.3
"Oct 16, 2014",85.04,1240.5
"Oct 15, 2014",85.24,1244.1
"Oct 14, 2014",85.94,1233.6
"Oct 13, 2014",85.73,1229.3
"Oct 10, 2014",86.03,1221.0
"Oct 09, 2014",85.66,1224.6
"Oct 08, 2014",85.41,1205.3
"Oct 07, 2014",85.78,1211.7
"Oct 06, 2014",86.04,1206.7
"Oct 03, 2014",86.82,1192.2
"Oct 02, 2014",85.69,1214.2
"Oct 01, 2014",86.08,1214.6
"Sep 30, 2014",86.05,1210.5
"Sep 29, 2014",85.72,1217.5
"Sep 26, 2014",85.77,1214.1
"Sep 25, 2014",85.3,1221.2
"Sep 24, 2014",85.16,1218.6
"Sep 23, 2014",84.78,1221.0
"Sep 22, 2014",84.86,1216.8
"Sep 19, 2014",84.86,1215.3
"Sep 18, 2014",84.43,1225.7
"Sep 17, 2014",84.49,1234.4
"Sep 16, 2014",84.23,1235.2
"Sep 15, 2014",84.25,1233.6
"Sep 12, 2014",84.24,1229.9
"Sep 11, 2014",84.3,1237.4
"Sep 10, 2014",84.29,1243.5
"Sep 09, 2014",84.28,1246.8
"Sep 08, 2014",84.24,1252.7
"Sep 05, 2014",83.76,1265.8
"Sep 04, 2014",83.83,1265.1
"Sep 03, 2014",82.89,1268.9
"Sep 02, 2014",83.01,1263.7
"Sep 01, 2014",82.78,1287.4
"Aug 29, 2014",82.78,1285.8
"Aug 28, 2014",82.52,1288.7
"Aug 27, 2014",82.45,1281.9
"Aug 26, 2014",82.68,1283.8
"Aug 25, 2014",82.59,1277.3
"Aug 22, 2014",82.38,1278.6
"Aug 21, 2014",82.21,1273.7
"Aug 20, 2014",82.28,1293.4
"Aug 19, 2014",81.94,1295.1
"Aug 18, 2014",81.63,1297.7
"Aug 15, 2014",81.47,1304.5
"Aug 14, 2014",81.65,1313.9
"Aug 13, 2014",81.66,1312.8
"Aug 12, 2014",81.56,1308.8
"Aug 11, 2014",81.53,1308.5
"Aug 08, 2014",81.45,1308.9
"Aug 07, 2014",81.61,1310.8
"Aug 06, 2014",81.51,1306.7
"Aug 05, 2014",81.61,1284.0
"Aug 04, 2014",81.41,1287.7
"Aug 01, 2014",81.38,1293.6
"Jul 31, 2014",81.52,1281.3
"Jul 30, 2014",81.52,1294.9
"Jul 29, 2014",81.31,1298.3
"Jul 28, 2014",81.12,1303.3
"Jul 25, 2014",81.12,1303.1
"Jul 24, 2014",80.96,1290.6
"Jul 23, 2014",80.92,1304.5
"Jul 22, 2014",80.86,1306.1
"Jul 21, 2014",80.63,1313.7
"Jul 18, 2014",80.59,1309.2
"Jul 17, 2014",80.57,1316.7
"Jul 16, 2014",80.62,1299.6
"Jul 15, 2014",80.45,1296.9
"Jul 14, 2014",80.23,1306.3
"Jul 11, 2014",80.23,1337.0
"Jul 10, 2014",80.17,1338.7
"Jul 09, 2014",80.04,1323.8
"Jul 08, 2014",80.22,1316.0
"Jul 07, 2014",80.27,1316.5
"Jul 04, 2014",80.28,1321.3
"Jul 03, 2014",80.28,1320.4
"Jul 02, 2014",79.98,1330.7
"Jul 01, 2014",79.84,1326.4
"Jun 30, 2014",79.81,1321.8
"Jun 27, 2014",80.09,1319.0
"Jun 26, 2014",80.28,1316.1
"Jun 25, 2014",80.27,1322.2
"Jun 24, 2014",80.39,1320.9
"Jun 23, 2014",80.34,1318.0
"Jun 20, 2014",80.44,1316.2
"Jun 19, 2014",80.4,1313.7
"Jun 18, 2014",80.67,1272.4
"Jun 17, 2014",80.72,1271.7
"Jun 16, 2014",80.47,1274.9
"Jun 13, 2014",80.66,1273.7
"Jun 12, 2014",80.59,1273.6
"Jun 11, 2014",80.81,1260.8
"Jun 10, 2014",80.85,1259.8
"Jun 09, 2014",80.68,1253.5
"Jun 06, 2014",80.43,1252.1
"Jun 05, 2014",80.4,1253.0
"Jun 04, 2014",80.71,1244.0
"Jun 03, 2014",80.59,1244.3
"Jun 02, 2014",80.69,1243.7
"May 30, 2014",80.4,1245.6
"May 29, 2014",80.54,1256.3
"May 28, 2014",80.62,1259.3
"May 27, 2014",80.41,1265.4
"May 26, 2014",80.45,1292.5
"May 23, 2014",80.45,1291.6
"May 22, 2014",80.31,1294.9
"May 21, 2014",80.15,1288.0
"May 20, 2014",80.09,1294.5
"May 19, 2014",80.05,1293.7
"May 16, 2014",80.11,1293.3
"May 15, 2014",80.06,1293.5
"May 14, 2014",80.14,1305.7
"May 13, 2014",80.21,1294.6
"May 12, 2014",79.97,1295.6
"May 09, 2014",79.96,1287.3
"May 08, 2014",79.4,1287.4
"May 07, 2014",79.24,1288.6
"May 06, 2014",79.13,1308.3
"May 05, 2014",79.53,1309.0
"May 02, 2014",79.56,1302.6
"May 01, 2014",79.58,1283.1
"Apr 30, 2014",79.53,1295.6
"Apr 29, 2014",79.88,1296.0
"Apr 28, 2014",79.76,1298.9
"Apr 25, 2014",79.82,1300.7
"Apr 24, 2014",79.88,1290.5
"Apr 23, 2014",79.94,1284.2
"Apr 22, 2014",80.0,1280.6
"Apr 21, 2014",80.03,1288.0
"Apr 17, 2014",79.9,1293.4
"Apr 16, 2014",79.88,1303.1
"Apr 15, 2014",79.89,1300.0
"Apr 14, 2014",79.81,1327.2
"Apr 11, 2014",79.52,1318.7
"Apr 10, 2014",79.45,1320.1
"Apr 09, 2014",79.55,1305.5
"Apr 08, 2014",79.83,1308.7
"Apr 07, 2014",80.36,1298.0
"Apr 04, 2014",80.57,1303.2
"Apr 03, 2014",80.64,1284.4
"Apr 02, 2014",80.37,1290.5
"Apr 01, 2014",80.25,1279.6
"Mar 31, 2014",80.25,1283.4
"Mar 28, 2014",80.33,1293.8
"Mar 27, 2014",80.25,1294.7
"Mar 26, 2014",80.17,1303.4
"Mar 25, 2014",80.09,1311.4
"Mar 24, 2014",80.08,1311.2
"Mar 21, 2014",80.26,1336.0
"Mar 20, 2014",80.35,1330.5
"Mar 19, 2014",80.13,1341.4
"Mar 18, 2014",79.54,1359.0
"Mar 17, 2014",79.31,1372.9
"Mar 14, 2014",79.44,1379.0
"Mar 13, 2014",79.63,1372.2
"Mar 12, 2014",79.61,1370.3
"Mar 11, 2014",79.73,1346.5
"Mar 10, 2014",79.77,1341.4
"Mar 07, 2014",79.72,1338.1
"Mar 06, 2014",79.67,1351.7
"Mar 05, 2014",80.12,1340.2
"Mar 04, 2014",80.18,1337.8
"Mar 03, 2014",80.09,1350.1
"Feb 28, 2014",79.72,1321.4
"Feb 27, 2014",80.31,1331.6
"Feb 26, 2014",80.46,1328.2
"Feb 25, 2014",80.17,1343.0
"Feb 24, 2014",80.22,1338.3
"Feb 21, 2014",80.27,1323.9
"Feb 20, 2014",80.32,1317.1
"Feb 19, 2014",80.19,1320.6
"Feb 18, 2014",80.05,1324.7
"Feb 17, 2014",80.18,1328.5
"Feb 14, 2014",80.18,1319.0
"Feb 13, 2014",80.38,1300.4
"Feb 12, 2014",80.74,1295.3
"Feb 11, 2014",80.7,1290.1
"Feb 10, 2014",80.73,1274.8
"Feb 07, 2014",80.76,1263.3
"Feb 06, 2014",81.0,1257.6
"Feb 05, 2014",81.13,1257.3
"Feb 04, 2014",81.22,1251.7
"Feb 03, 2014",81.11,1260.4
"Jan 31, 2014",81.4,1240.1
